"Quadra","Area","Preco","Quartos","Banheiros"
"SQS 214",122,1350000,3,"1"
"SQS 404",77,860000,3,"1"
"SQS 306",154,1650000,3,"1"
"SQS 411",98,1199000,2,"2 "
"SQS 214",112,1480000,3,"1"
"SQS 402",63,635000,2,"1"
"SQS 413",82,730000,3,"1"
"SQS 306",154,1650000,3,"1"
"SQS 207",175,2990000,3,"1"
"SQS 215",118,1499000,3,"1"
"SQS 307",155,1750000,4,"1"
"SQS 411",98,1230000,3,"2 "
"SQS 409",60,750000,2,"1"
"SQS 403",87,857000,3,"1"
"SEPS 713",25,3e+05,1,"1"
"SQS 202",142,2190000,3,"1"
"SQS 403",82,857000,3,"1"
"SQS 213",120,1350000,3,"1"
"SQS 315",166,1980000,3,"1"
"SQS 204",120,1390000,2,"1"
"SQS 109",160,2200000,4,"1"
"SQS 107",136,1200000,3,"1"
"SQS 105",165,2150000,4,"1"
"SQS 408",57,5e+05,2,"1"
"SQS 408",93,960000,3,"1"
"SQS 103",95,9e+05,2,"1"
"SQS 413",89,820000,3,"1"
"SQS 408",60,620000,2,"2 "
"SQS 408",82,725000,3,"1"
"SQS 403",77,830000,3,"1"
"SQS 205",88,1100000,3,"1"
"SQS 411",44,398890,2,"1"
"SQS 112",411,5900000,4,"4 "
"SHIGS 714",124,990000,3,"1"
"SQS 302",189,1800000,4,"1"
"SQS 415",48,460000,2,"1"
"SQS 410",55,585000,2,"1"
"SQS 410",55,570000,2,"1"
"SQS 404",85,650000,3,"1"
"SQS 412",55,593000,2,"1"
"SQS 302",189,1650000,4,"1"
"SQS 402",63,680000,2,"1"
"SQS 306",161,1549000,3,"1"
"SQS 114",157,2100000,3,"2 "
"SQS 104",155,1590000,4,"2 "
"SQS 213",210,3350000,4,"2 "
"SQS 114",157,2100000,3,"2 "
"SQS 314",156,1870000,3,"1"
"SQS 314",233,3e+06,4,"2 "
"SQS 411",43,450000,2,"1"
"SQS 213",120,1300000,3,"1"
"CLS 309",217,2790000,4,"1"
"SQS 204",120,1380000,3,"1"
"SQS 211",470,0,4,"4 "
"SQS 412",90,820000,3,"1"
"SQS 105",131,1550000,3,"1"
"SQS 211",834,17500000,4,"4 "
"SQS 402",104,1140000,3,"1"
"SQS 412",78,790000,3,"1"
"SQS 206",109,1790000,3,"1"
"SQS 113",192,2500000,4,"4 "
"SQS 103",95,9e+05,2,"1"
"SQS 308",160,2500000,3,"1"
"SQS 403",83,820000,3,"1"
"SQS 410",83,780000,3,"1"
"SQS 310",199,2950000,4,"4 "
"SQS 106",140,1690000,3,"1"
"SQS 206",128,1395000,3,"1"
"SQS 313",210,2600000,4,"1"
"SQS 207",175,2990000,3,"1"
"SQS 309",211,3100000,4,"1"
"SQS 211",120,1640000,3,"1"
"SQS 204",100,1150000,3,"1"
"SQS 310",113,1390000,3,"1"
"SQS 408",82,725000,3,"1"
"SQS 312",377,5900000,4,"3 "
"SQS 410",72,610000,2,"1"
"SQS 406",77,605000,3,"1"
"SQS 410",56,560000,2,"1"
"SQS 108",141,1890000,3,"1"
"SGAS 910",27,245000,1,"1"
"SQS 210",76,1080000,2,"2 "
"SQS 305",169,1680000,4,"1"
"SQS 112",150,1850000,3,"1"
"SQS 107",264,2720000,4,"1"
"SQS 412",50,505000,2,"1"
"SQS 315",102,1230000,3,"1"
"SQS 212",40,490000,1,"1"
"SQS 408",43,390000,1,"1"
"SQS 311",148,1900000,3,"1"
"SQS 105",153,1730000,2,"1"
"SQS 413",82,750000,3,"1"
"SQS 205",120,1355000,4,"1"
"SQS 311",148,1650000,3,"3 "
"SQS 103",95,1050000,2,"1"
"SQS 309",217,2790000,4,"1"
"SQS 415",54,580000,2,"1"
"SQS 210",100,1130000,3,"1"
"SQS 105",153,1599999,3,"1"
"SQS 105",166,2500000,4,"2 "
"SQS 109",136,1435000,3,"1"
"SQS 403",85,690000,3,"1"
"SQS 403",82,859000,3,"1"
"SQS 202",142,1480000,3,"1"
"SQS 306",130,1170000,3,"1"
"SQS 106",126,1250000,3,"1"
"SQS 114",246,3250000,3,"3 "
"SQS 109",137,1495000,3,"1"
"SQS 214",114,1450000,3,"1"
"SQS 415",85,820000,3,"1"
"SQS 207",175,2990000,3,"1"
"SQS 316",157,2e+06,3,"2 "
"SQS 108",88,880000,2,"1"
"SQS 306",154,1358000,3,"1"
"SQS 413",89,820000,3,"1"
"SQS 310",74,9e+05,2,"1"
"SQS 105",153,1650000,3,"1"
"SQS 109",147,1550000,3,"1"
"SQS 210",76,980000,2,"1"
"SQS 211",120,1490000,3,"1"
"SQS 410",55,560000,2,"1"
"SQS 306",178,2500000,3,"1"
"SQS 416",89,760000,3,"1"
"SQS 107",183,1890000,4,"1"
"SQS 104",235,2600000,4,"1"
"SQS 408",39,380000,1,"1"
"SQS 104",235,2500000,5,"2 "
"SQS 311",145,1600000,3,"1"
"SQS 104",235,2280000,5,"2 "
"SQS 214",124,1380000,3,"1"
"SQS 413",49,470000,2,"1"
"SQS 404",80,869999,3,"1"
"SQS 109",136,1480000,3,"1"
"SQS 311",73,810000,2,"1"
"SQS 406",90,850000,2,"1"
"SQS 410",54,630000,2,"1"
"SQS 312",222,3400000,4,"2 "
"SQS 310",113,1195000,3,"1"
"SQS 206",125,1570000,3,"1"
"SQS 404",27,330000,1,"1"
"SQS 112",158,1850000,3,"1"
"SQS 311",283,2700000,4,"1"
"SQS 203",187,2950000,3,"3 "
"SQS 310",370,4980000,5,"4 "
"CLS 102",40,440000,1,"1"
"SQS 105",131,1590000,3,"1"
"SQS 411",100,1180000,2,"1"
"SQS 408",54,5e+05,2,"1"
"SQS 116",67,980000,2,"1"
"SQS 403",90,950000,3,"1"
"SQS 204",84,1050000,3,"1"
"SQS 109",136,1480000,3,"1"
"SQS 207",254,3500000,3,"2 "
"SQS 215",120,1780000,3,"2 "
"SQS 111",238,2820000,4,"1"
"SQS 102",167,1780000,3,"1"
"SQS 312",377,5900000,4,"4 "
"SQS 404",78,830000,3,"1"
"SQS 307",104,1520000,3,"1"
"SQS 111",237,2980000,4,"1"
"SQS 411",49,605000,2,"1"
"SQS 408",48,470000,2,"1"
"SQS 308",158,2400000,3,"1"
"SQS 312",221,3390000,4,"42 "
"SQS 410",54,485000,2,"1"
"SQS 415",53,560000,2,"1"
"SQS 306",154,1650000,3,"1"
"SQS 403",83,820000,3,"1"
"SQS 208",196,2100000,4,"1"
"SQS 407",150,1300000,3,"1"
"SQS 109",160,2200000,4,"1"
"SQS 307",155,1500000,4,"1"
"SQS 316",157,2e+06,3,"2 "
"SQS 115",150,2250000,2,"2 "
"SQS 112",411,5900000,4,"4 "
"SQS 306",154,1180000,3,"1"
"SQS 105",180,2150000,4,"1"
"SQS 405",38,383000,1,"1"
"SQS 108",161,1200000,3,"1"
"SQS 408",56,530000,2,"1"
"SQS 207",254,2998000,4,"1"
"SQS 315",211,2900000,4,"1"
"SQS 205",64,875000,2,"1"
"SQS 103",57,680000,1,"1"
"SQS 213",120,1450000,3,"1"
"SQS 215",159,1800000,3,"1"
"SQS 114",201,2250000,3,"1"
"SQS 411",100,1199000,2,"2 "
"SQS 415",54,530000,2,"1"
"SQS 202",143,1620000,3,"1"
"SQS 313",523,10500000,4,"4 "
"SQS 309",217,2790000,4,"1"
"SQS 311",148,1690000,3,"3 "
"SQS 114",157,2260000,3,"1"
"SQS 106",154,1215000,3,"1"
"SQS 410",86,880000,3,"1"
"SQS 108",161,1890000,3,"1"
"SQS 308",1,2500000,3,"1"
"SQS 109",136,1660000,3,"1"
"SQS 414",70,685000,3,"1"
"SQS 105",165,2150000,4,"1"
"SEPS 713",26,310000,1,"1"
"SQS 112",411,5900000,4,"4 "
"SQS 103",119,1500000,3,"2 "
"SQS 103",144,1900000,4,"1"
"SQS 407",85,850000,3,"1"
"SQS 204",100,1150000,3,"1"
"SQS 402",103,1140000,3,"1"
"SQS 311",114,1300000,3,"1"
"SQS 313",210,2600000,4,"1"
"SQS 306",161,1770000,3,"1"
"SQS 304",120,1199000,3,"1"
"SQS 112",104,1200000,2,"1"
"SQS 202",143,1570000,3,"1"
"SQS 103",95,999000,3,"1"
"SQS 310",199,3e+06,4,"4 "
"SQS 403",83,820000,3,"1"
"EQS 414",42,180000,2,"1"
"SQS 210",130,1940000,3,"1"
"SQS 104",153,1990000,4,"1"
"SQS 410",56,570000,2,"2 "
"SQS 304",145,1560000,3,"1"
"SQS 407",60,650000,2,"1"
"SQS 405",62,650000,3,"1"
"SQS 312",377,5900000,4,"4 "
"SQS 404",26,370000,1,"1"
"SQS 110",143,1650000,3,"1"
"SQS 112",158,1900000,3,"1"
"SQS 304",130,1300000,3,"1"
"SQS 105",190,1850000,4,"1"
"SQS 407",85,870000,3,"1"
"SQS 310",201,2850000,4,"4 "
"SQS 109",136,1479000,3,"1"
"SQS 409",86,680000,3,"1"
"SQS 107",265,2720000,4,"1"
"SEPS 712",23,320000,1,"1"
"SQS 109",136,1480000,3,"1"
"SQS 205",88,890000,2,"1"
"SQS 412",50,389000,1,"1"
"SQS 310",75,970000,2,"1"
"SQS 207",254,2900000,4,"1"
"SQS 311",148,1650000,4,"3 "
"SQS 114",158,1675000,3,"1"
"SQS 413",50,460000,2,"1"
"SQS 314",155,1745000,3,"1"
"SQS 406",81,770000,3,"1"
"SQS 105",166,1950000,4,"1"
"SQS 406",77,750000,3,"1"
"SQS 103",57,680000,1,"1"
"SQS 408",55,590000,2,"1"
"SQS 303",110,1320000,1,"1"
"SQS 102",115,1600000,3,"1"
"SQS 203",74,950000,2,"1"
"SQS 207",254,3080000,4,"1"
"SQS 312",200,2090000,3,"1"
"SQS 311",148,1670000,3,"1"
"SQS 112",162,1870000,3,"1"
"SQS 409",65,630000,2,"1"
"SQS 107",220,2200000,4,"1"
"SQS 206",125,1550000,3,"1"
"SQS 305",169,1680000,4,"1"
"SQS 107",100,879000,2,"1"
"SEPS 713",26,295000,1,"1"
"SQS 112",157,1850000,4,"1"
"SQS 411",62,585000,3,"1"
"SQS 311",148,1900000,3,"1"
"SQS 109",136,1479000,3,"1"
"SQS 103",119,1350000,2,"2 "
"SQS 103",119,1350000,2,"2 "
"SQS 413",93,880000,3,"1"
"SQS 410",60,630000,2,"1"
"SQS 108",161,1900000,3,"1"
"SQS 411",100,1190000,2,"2 "
"SQS 204",100,1150000,3,"3 "
"SQS 107",136,1200000,3,"1"
"SQS 410",33,350000,1,"1"
"EQS 414",54,290000,2,"1"
"SGAS 910",27,230000,1,"1"
"SQS 416",77,850000,3,"1"
"SQS 107",130,1170000,3,"1"
"SQS 302",115,1100000,3,"1"
"SQS 311",149,1800000,3,"1"
"SQS 310",199,3e+06,4,"4 "
"SQS 105",131,1500000,3,"1"
"SQS 310",199,2900000,4,"4 "
"SQS 314",232,3e+06,4,"2 "
"SQS 112",160,1850000,3,"1"
"SQS 109",136,1480000,3,"1"
"SEPS 713",34,345000,1,"1"
"SQS 103",95,999000,3,"1"
"SQS 310",200,3e+06,4,"4 "
"SQS 315",125,1370000,3,"1"
"SQS 306",154,1300000,3,"1"
"SQS 405",72,835000,3,"1"
"SQS 412",50,450,2,"1"
"SQS 105",131,1500000,3,"1"
"SQS 105",165,2150000,4,"1"
"SEPS 713",26,330000,1,"1"
"SQS 310",54,750000,2,"1"
"SQS 314",155,1745000,3,"1"
"SQS 413",49,405000,2,"1"
"SQS 109",130,1800000,4,"1"
"SQS 411",69,1050000,3,"1"
"SQS 215",160,2380000,3,"1"
"SQS 108",170,1600000,3,"1"
"SQS 305",133,1340000,3,"1"
"SQS 108",140,1580000,3,"1"
"SQS 211",120,1380000,3,"1"
"SQS 311",150,1690000,3,"3 "
"SQS 405",81,799900,3,"1"
"SQS 103",38,450000,1,"1"
"SQS 416",93,950000,3,"1"
"SQS 109",136,1390000,3,"1"
"SQS 313",211,2600000,4,"1"
"SQS 106",100,9e+05,2,"1"
"SQS 114",246,2600000,5,"2 "
"SQS 206",170,1750000,4,"1"
"SQS 311",227,3e+06,4,"2 "
"SQS 316",245,2950000,5,"1"
"SQS 411",43,425000,2,"1"
"SQS 215",120,1599000,3,"1"
"SQS 405",79,827000,2,"1"
"SQS 312",388,5900000,4,"4 "
"SQS 306",154,1650000,3,"1"
"SQS 112",411,5900000,4,"4 "
"SQS 315",102,1230000,3,"1"
"SHIGS 714",124,1100000,3,"1"
"SEPS 713",26,297000,1,"1"
"SQS 114",201,2250000,3,"1"
"SQS 206",90,1100000,3,"1"
"SQS 115",232,3700000,4,"3 "
"SQS 103",143,1890000,4,"1"
"SQS 103",143,1900000,4,"1"
"SQS 402",63,595000,2,"1"
"SEPS 713",27,375000,1,"1"
"SQS 304",140,1560000,3,"1"
"SQS 115",147,1520000,3,"1"
"SQS 107",94,1150000,3,"1"
"SQS 403",82,8e+05,3,"1"
"SQS 405",30,397000,1,"1"
"SQS 211",126,1595000,3,"1"
"SQS 416",93,950000,2,"1"
"SQS 306",129,1100980,3,"1"
"SQS 305",154,1500000,3,"2 "
"SQS 314",154,2100000,3,"1"
"SQS 409",66,645000,2,"1"
"SQS 116",70,990000,2,"1"
"SQS 406",80,690000,3,"1"
"SQS 411",100,1199000,2,"2 "
"SQS 211",120,1490000,3,"1"
"SQS 415",54,585000,2,"2 "
"SQS 404",27,330000,1,"1"
"SQS 103",119,1200000,2,"2 "
"SQS 415",44,480000,2,"1"
"SQS 409",33,325000,1,"1"
"SQS 215",132,1780000,3,"1"
"SQS 203",74,950000,2,"1"
"SQS 107",178,1500000,4,"1"
"SGAS 905",30,315000,1,"1"
"SQS 405",62,650000,3,"1"
"SQS 106",121,980000,3,"1"
"SQS 312",201,2100000,3,"1"
"SQS 108",161,1800000,3,"1"
"SQS 312",377,5990000,4,"4 "
"SQS 103",119,1500000,3,"2 "
"SEPS 713",25,349000,1,"1"
"SQS 206",124,1130000,3,"1"
"SQS 408",92,950000,3,"1"
"SEPS 712",28,240000,1,"1"
"SQS 415",87,770000,3,"1"
"EQS 414",33,160000,1,"1"
"SQS 405",38,370000,1,"1"
"SQS 203",63,980000,3,"1"
"SQS 211",120,1530000,3,"1"
"SQS 413",50,450000,1,"1"
"SQS 306",154,1150000,3,"1"
"SQS 114",157,2300000,3,"1"
"SQS 108",160,1600000,3,"1"
"SQS 213",172,2190000,3,"1"
"SQS 210",185,2150000,4,"1"
"SQS 108",140,2100000,2,"1"
"SQS 415",48,510000,2,"1"
"SQS 409",54,630000,2,"1"
"SQS 402",63,595000,2,"1"
"SQS 105",166,1950000,4,"1"
"SQS 105",166,2150000,3,"1"
"SQS 214",122,1395000,3,"1"
"SQS 410",86,790000,3,"1"
"SQS 413",60,470000,2,"1"
"SQS 212",50,475000,1,"1"
"SQS 404",27,330000,1,"1"
"SQS 409",76,645000,2,"1"
"SQS 305",132,1395000,3,"1"
"SQS 402",62,630000,2,"1"
"SQS 206",138,1590000,3,"1"
"SGAS 910",29,250000,1,"1"
"SQS 103",119,1500000,2,"2 "
"SQS 409",54,650000,2,"1"
"SQS 309",85,1200000,3,"1"
"SQS 414",63,950000,3,"1"
"SQS 203",77,1350000,2,"2 "
"SQS 203",147,2500000,3,"3 "
"SQS 210",100,1250000,3,"1"
"SQS 414",90,929930,3,"1"
"SEPS 713",28,339000,1,"1"
"SEPS 713",26,289000,1,"1"
"SQS 109",140,1680000,3,"1"
"SQS 202",142,1620000,3,"1"
"SQS 109",136,1360000,3,"1"
"SQS 410",90,750000,3,"1"
"SQS 210",76,1080000,2,"1"
"SQS 409",86,730000,3,"1"
"SQS 411",62,6e+05,3,"1"
"SHIGS 709",482,2500000,7,"6 "
"SQS 408",57,480000,2,"1"
"SQS 203",234,3270000,4,"2 "
"SQS 409",38,355000,1,"1"
"SQS 410",66,550000,2,"1"
"SQS 206",191,2500000,3,"1"
"SQS 212",56,519000,1,"1"
"SQS 314",155,1970000,3,"1"
"SQS 203",100,1550000,3,"1"
"SQS 211",177,2040000,4,"1"
"SQS 113",145,1580000,3,"1"
"SQS 409",54,550000,2,"1"
"SQS 311",148,1695000,3,"1"
"SQS 302",220,2690000,5,"2 "
"SQS 203",77,1349000,2,"1"
"SQS 313",112,1320000,3,"1"
"SQS 111",233,3495000,5,"2 "
"SQS 313",210,2570000,4,"1"
"SQS 206",137,1230000,3,"1"
"EQS 414",70,430000,1,"1"
"SQS 314",233,3e+06,4,"2 "
"SQS 311",85,840000,2,"1"
"SEPS 713",27,367000,1,"1"
