"Quadra","Area","Preco","Quartos","Banheiros"
"SQS 208",261,2100000,4,"1"
"SQS 404",80,869999,3,"2 "
"SQS 211",120,1900000,3,"3 "
"SQS 104",155,1580000,4,"4 "
"SQS 210",98,1080000,2,"2 "
"SQS 112",150,1850000,3,"3 "
"SQS 108",147,14900005,3,"3 "
"SEPS 713",26,295000,1,"1 "
"SQS 306",154,16500005,3,"3 "
"SQS 111",233,3495000,5,"5 "
"SQS 103",144,1960000,4,"3 "
"SQS 107",178,1440000,4,"2 "
"SQS 402",64,680000,2,"1 "
"SQS 105",153,1650000,3,"3 "
"SQS 204",120,1380000,3,"1"
"SQS 311",148,1695000,3,"3 "
"SQS 105",166,1950000,4,"4 "
"SQS 202",220,1570000,3,"3 "
"SQS 411",62,585000,3,"1 "
"SQS 105",153,1550000,3,"3 "
"SQS 311",148,1695000,3,"3 "
"SQS 105",166,1950000,4,"4 "
"SQS 202",220,1570000,3,"3 "
"SQS 411",62,585000,3,"1 "
"SQS 105",153,1550000,3,"3 "
"SQS 112",160,1900000,4,"4 "
"SQS 103",210,1872000,4,"3 "
"SQS 408",55,590000,2,"1 "
"SQS 116",300,3499000,4,"4"
"SQS 107",264,2720000,4,"4 "
"SQS 112",162,1870000,3,"2 "
"SQS 103",95,420000,1,"1 "
"SQS 410",65,485000,2,"2 "
"SQS 103",95,9e+05,2,"1 "
"SQS 410",86,880000,3,"3 "
"SQS 403",83,859000,3,"3 "
"SGAS 913",27,380000,1,"1 "
"SQS 415",54,530000,2,"1 "
"SQS 313",421,2600000,4,"4 "
"SQS 108",185,1800000,3,"3 "
"SQS 104",155,1580000,4,"4 "
"SQS 404",87,890000,3,"2 "
"SQS 112",162,1870000,3,"2 "
"SGAS 913",27,380000,1,"1 "
"SQS 311",148,1690000,3,"5 "
"SQS 202",220,1570000,3,"3 "
"SQS 107",178,1440000,4,"2 "
"SQS 408",92,950000,3,"3 "
"SQS 306",154,165000010,3,"3 "
"SQS 404",80,860000,3,"2 "
"SQS 103",95,420000,1,"1 "
"SQS 311",148,1695000,3,"3 "
"SQS 410",86,880000,3,"3 "
"SQS 211",120,1900000,3,"3 "
"SQS 306",154,16500005,3,"3 "
"SQS 208",261,2100000,4,"1"
"SEPS 713",26,295000,1,"1 "
"SQS 105",153,1650000,3,"3 "
"SQS 107",264,2200000,4,"3 "
"SQS 306",154,16500005,3,"3 "
"SQS 208",261,2100000,4,"1"
"SEPS 713",26,295000,1,"1 "
"SQS 105",153,1650000,3,"3 "
"SQS 107",264,2200000,4,"3 "
"SQS 313",211,2600000,4,"1"
"SQS 107",264,2720000,4,"4 "
"SQS 107",161,1200000,3,"3 "
"SQS 313",421,2600000,4,"4 "
"SQS 112",160,1900000,4,"4 "
"SQS 402",103,1180000,3,"3 "
"SQS 215",120,1660000,3,"3 "
"SQS 214",160,1380000,3,"3 "
"SQS 204",100,1150000,3,"3 "
"SQS 307",104,1520000,3,"3 "
"SQS 404",80,870000,3,"1 "
"SQS 106",96,980000,3,"1 "
"SQS 302",220,2450000,5,"5 "
"SQS 307",104,1520000,3,"3 "
"SQS 404",80,870000,3,"1 "
"SQS 106",96,980000,3,"1 "
"SQS 302",220,2450000,5,"5 "
"SQS 111",238,2820000,4,"4 "
"SQS 403",83,820000,3,"2 "
"SQS 107",183,1890000,4,"3 "
"SQS 310",200,3e+06,4,"6 "
"SQS 109",136,1480000,3,"3 "
"SQS 304",120,1199000,3,"1"
"SQS 411",100,1199000,2,"3 "
"SQS 107",183,1890000,4,"3 "
"SQS 404",85,650000,3,"2 "
"SQS 314",154,2100000,3,"3 "
"SQS 210",197,1940000,3,"3 "
"SQS 103",64,124000017,1,"1 "
"SQS 306",130,1170000,3,"3 "
"SQS 306",154,1254400,3,"3 "
"SQS 204",100,1150000,3,"3 "
"SQS 103",64,124000017,1,"1 "
"SQS 306",130,1170000,3,"3 "
"SQS 306",154,1254400,3,"3 "
"SQS 204",100,1150000,3,"3 "
"SEPS 713",25,349000,1,"1 "
"SQS 410",55,560000,2,"1 "
"SQS 402",72,785000,2,"2 "
"SQS 306",154,1180000,3,"3 "
"SQS 409",75,660000,2,"2 "
"SQS 108",140,2100000,3,"1 "
"SQS 203",77,1350000,2,"2 "
"SQS 413",89,820000,3,"2 "
"SQS 104",156,1500000,4,"4 "
"SQS 312",321,3400000,4,"5 "
"SQS 202",700,1790000,3,"3 "
"SQS 408",93,960000,3,"3 "
"SQS 310",70,775000,2,"3 "
"SQS 403",90,950000,3,"2 "
"SQS 106",134,1380000,3,"3 "
"SQS 204",120,1390000,2,"4 "
"SQS 411",100,118000019,2,"2 "
"SQS 410",55,560000,2,"1 "
"SQS 108",161,1800000,3,"1"
"SQS 107",183,1890000,4,"3 "
"SQS 409",75,660000,2,"2 "
"SQS 310",200,3e+06,4,"6 "
"SQS 203",77,1350000,2,"2 "
"SEPS 713",25,349000,1,"1 "
"SQS 310",74,9e+05,2,"2 "
"SQS 213",210,3350000,4,"5 "
"SQS 306",154,1180000,3,"3 "
"SQS 413",89,820000,3,"2 "
"SQS 107",183,1890000,4,"3 "
"SQS 403",90,950000,3,"2 "
"SQS 204",120,1390000,2,"4 "
"SQS 408",93,960000,3,"3 "
"SQS 202",700,1790000,3,"3 "
"SQS 402",72,785000,2,"2 "
"SQS 306",130,1170000,3,"3 "
"SQS 106",134,1380000,3,"3 "
"SQS 103",64,124000017,1,"1 "
"SQS 103",144,1960000,4,"3 "
"SQS 204",100,1150000,3,"3 "
"SQS 403",83,820000,3,"2 "
"SQS 311",150,1690000,3,"5 "
"SQS 409",66,645000,2,"2 "
"SQS 312",321,3400000,4,"5 "
"SQS 409",106,870000,3,"2 "
"SQS 307",104,1520000,3,"3 "
"SQS 105",165,2150000,4,"3 "
"SQS 404",89,890000,3,"2 "
"SQS 411",100,1199000,2,"3 "
"SQS 103",95,999000,3,"1 "
"SQS 304",177,1700000,4,"4 "
"SQS 413",88,690000,3,"2 "
"SQS 411",62,450000,2,"1 "
"SQS 108",153,1500000,3,"4 "
"SQS 207",234,2990000,3,"3 "
"SQS 309",217,2790000,4,"4 "
"SQS 412",63,650000,3,"2 "
"SQS 313",210,2600000,4,"4 "
"SQS 409",66,645000,2,"2 "
"SQS 316",217,2e+06,3,"4 "
"SQS 411",50,605000,2,"1 "
"SQS 411",120,1180000,2,"3 "
"SQS 305",135,1590000,3,"4 "
"SQS 103",119,1199999,NA,"3 "
"SQS 310",128,1390000,3,"2 "
"SQS 309",217,2790000,4,"4 "
"SQS 216",168,2395000,3,"5 "
"SQS 114",230,2099000,3,"4 "
"SQS 207",175,2990000,3,"3 "
"SQS 415",87,750000,3,"1 "
"SQS 411",148,1230000,3,"1 "
"SQS 407",79,849000,3,"3 "
"SQS 404",80,870000,3,"1 "
"SQS 114",244,2400000,3,"3 "
"SQS 108",140,2100000,2,"3 "
"SQS 311",120,920000,2,"2 "
"SQS 208",100,1200000,2,"2 "
"SQS 103",57,680000,1,"1 "
"SQS 412",90,820000,4,"2 "
"SQS 114",186,3090000,3,"4 "
"SQS 107",178,1400000,4,"2 "
"SQS 411",103,1199000,2,"2 "
"SQS 206",85,1190000,3,"3 "
"SQS 114",201,2250000,3,"3 "
"SQS 112",162,1850000,3,"2 "
"SQS 315",166,19800005,3,"3 "
"SQS 402",97,779000,3,"2 "
"SQS 309",218,3100000,4,"4 "
"SQS 213",160,1300000,3,"3 "
"SQS 104",153,1990000,4,"3 "
"SQS 312",377,5900000,4,"6 "
"SQS 206",170,1500000,4,"3 "
"SQS 302",260,2700000,5,"4 "
"SQS 309",99,1200000,3,"3 "
"SQS 102",166,1850000,4,"4 "
"SQS 405",105,9800006,3,"2 "
"SQS 411",98,1180000,2,"3 "
"SQS 315",217,1600000,3,"3 "
"SQS 104",190,1500000,4,"3 "
"SQS 311",168,1600000,3,"2 "
"SQS 205",120,1.355e+09,4,"2 "
"SEPS 713",57,350000,1,"1"
"SQS 407",82,8e+05,3,"1 "
"SQS 206",250,2500000,3,"4 "
"SQS 211",834,17500000,4,"5 "
"SQS 313",332,2600000,4,"4 "
"SQS 415",130,8e+05,3,"2 "
"SQS 108",161,12000006,3,"3 "
"SQS 311",73,810000,2,"2 "
"SQS 415",85,995000,3,"2 "
"SQS 410",83,780000,3,"2 "
"SQS 404",110,785000,3,"3 "
"SQS 203",184,2500000,3,"4 "
"SQS 102",167,1780000,4,"4 "
"SQS 408",55,450000,2,"1 "
"SQS 102",157,1600000,3,"2 "
"SQS 407",50,5e+05,2,"1 "
"SQS 106",121,8700008,2,"2 "
"SQS 109",170,13900007,3,"3 "
"SQS 108",161,1200000,3,"3 "
"SQS 112",190,1850000,3,"4 "
"SQS 214",114,1450000,3,"2 "
"SQS 410",90,780000,3,"2 "
"SQS 404",78,830000,3,"3 "
"SQS 302",189,1260000,3,"1 "
"SQS 313",523,10500000,4,"2 "
"SQS 112",411,5900000,4,"7 "
"SQS 106",135,1380000,3,"3 "
"SQS 211",250,2040000,4,"3 "
"SQS 410",33,335000,1,"1 "
"SQS 211",120,1640000,3,"3 "
"SQS 311",205,1900000,3,"3 "
"SQS 408",60,620000,2,"2 "
"SQS 107",178,1420000,3,"1 "
"SQS 206",128,14500000,3,"3 "
"SQS 215",120,1599000,3,"3 "
"SQS 103",95,999000,3,"2 "
"SQS 104",236,2600000,4,"3 "
"SQS 112",615,5900000,4,"7 "
"SQS 206",109,1790000,3,"2 "
"SQS 414",134,929930,3,"2 "
"SQS 109",136,1480000,3,"3 "
"SQS 104",121,1050000,2,"2 "
"SQS 311",200,1800000,4,"5 "
